encoder,rung,run,category,spearman,n_pairs,model_vocab,spearman_shared,w2v_spearman,partial_model,n_shared,w2v_vocab
dinov3b,aligned,F_dinov3b_align_170000_s0,all,0.09009236799037365,3673,5678,0.09009236799037365,0.26610461951519376,0.06934655529697514,3673,5677
dinov3b,aligned,F_dinov3b_align_170000_s0,noun,0.14558841176020973,1509,5678,0.14558841176020973,0.32863102900701285,0.11376850881273944,1509,5677
dinov3b,aligned,F_dinov3b_align_170000_s1,all,0.10784669745988087,3673,5678,0.10784669745988087,0.26610461951519376,0.08854134509544806,3673,5677
dinov3b,aligned,F_dinov3b_align_170000_s1,noun,0.11753771347893079,1509,5678,0.11753771347893079,0.32863102900701285,0.0891802350854016,1509,5677
dinov3b,aligned,F_dinov3b_align_170000_s2,all,0.13726427854051276,3673,5678,0.13726427854051276,0.26610461951519376,0.12088062318859757,3673,5677
dinov3b,aligned,F_dinov3b_align_170000_s2,noun,0.19857103051339706,1509,5678,0.19857103051339706,0.32863102900701285,0.17206077304928363,1509,5677
dinov3b,filtnat,F_dinov3b_lad_filtnat_s0,all,0.12568139668981504,3701,5730,0.12568139668981504,0.25781720455623564,0.10352353950381589,3701,5729
dinov3b,filtnat,F_dinov3b_lad_filtnat_s0,noun,0.15942350028465585,1515,5730,0.15942350028465585,0.3147050933951045,0.12438185529582532,1515,5729
dinov3b,filtnat,F_dinov3b_lad_filtnat_s1,all,0.10637243594986531,3701,5730,0.10637243594986531,0.25781720455623564,0.0845160962333862,3701,5729
dinov3b,filtnat,F_dinov3b_lad_filtnat_s1,noun,0.14731334299445847,1515,5730,0.14731334299445847,0.3147050933951045,0.107736326332605,1515,5729
dinov3b,filtnat,F_dinov3b_lad_filtnat_s2,all,0.12365252423119649,3701,5730,0.12365252423119649,0.25781720455623564,0.1036247111448363,3701,5729
dinov3b,filtnat,F_dinov3b_lad_filtnat_s2,noun,0.16948775605441285,1515,5730,0.16948775605441285,0.3147050933951045,0.1366880687297524,1515,5729
dinov3b,word selection,F_dinov3b_lad_t15_s0,all,0.06164213065976086,3057,4347,0.06164213065976086,0.1670237968609228,0.06104322206891171,3057,4346
dinov3b,word selection,F_dinov3b_lad_t15_s0,noun,0.09327726018841578,1333,4347,0.09327726018841578,0.1500834938700062,0.09208955414426527,1333,4346
dinov3b,word selection,F_dinov3b_lad_t15_s1,all,0.084824008522854,3057,4347,0.084824008522854,0.1670237968609228,0.07706846193470318,3057,4346
dinov3b,word selection,F_dinov3b_lad_t15_s1,noun,0.09835657300843516,1333,4347,0.09835657300843516,0.1500834938700062,0.08857556115826312,1333,4346
dinov3b,word selection,F_dinov3b_lad_t15_s2,all,0.1036007872501612,3057,4347,0.1036007872501612,0.1670237968609228,0.09055006311996977,3057,4346
dinov3b,word selection,F_dinov3b_lad_t15_s2,noun,0.12420667704037869,1333,4347,0.12420667704037869,0.1500834938700062,0.11497553070371222,1333,4346
dinov3b,vision binding,F_dinov3b_lad_t2_s0,all,0.12486235378975966,1003,1669,0.12486235378975966,-0.04464324802900512,0.12682174758867276,1003,1668
dinov3b,vision binding,F_dinov3b_lad_t2_s0,noun,0.1472689430896764,743,1669,0.1472689430896764,-0.05713166081407948,0.1513570235961274,743,1668
dinov3b,vision binding,F_dinov3b_lad_t2_s1,all,0.13300910800831622,1003,1669,0.13300910800831622,-0.04464324802900512,0.13353908118451907,1003,1668
dinov3b,vision binding,F_dinov3b_lad_t2_s1,noun,0.12589953003477194,743,1669,0.12589953003477194,-0.05713166081407948,0.12658157325318353,743,1668
