source,kind,dataset,spearman,n_pairs,n_total,vocab
B26_lad100000_base_s0,model,wordsim353,0.06989587700853987,91,352,3653
B26_lad100000_base_s0,model,simlex999,-0.028672524257683792,365,999,3653
B26_lad100000_base_s0,model,rg65,,13,65,3653
B26_lad100000_base_s0,model,MTest-3000,0.09399081134489468,1405,3000,3653
B26_lad100000_base_s0,model,SimVerb-3500,0.009125169174442749,994,3500,3653
B26_lad100000_base_s1,model,wordsim353,0.2510606796013513,73,352,3712
B26_lad100000_base_s1,model,simlex999,-0.03233843059289581,374,999,3712
B26_lad100000_base_s1,model,rg65,,12,65,3712
B26_lad100000_base_s1,model,MTest-3000,0.012890684526132411,1360,3000,3712
B26_lad100000_base_s1,model,SimVerb-3500,0.04280402544570133,982,3500,3712
B26_lad100000_base_s2,model,wordsim353,0.029721149618724733,88,352,3702
B26_lad100000_base_s2,model,simlex999,0.057846485039226084,367,999,3702
B26_lad100000_base_s2,model,rg65,,14,65,3702
B26_lad100000_base_s2,model,MTest-3000,0.03536487219228061,1396,3000,3702
B26_lad100000_base_s2,model,SimVerb-3500,-0.015165212673834904,980,3500,3702
B26_lad100000_filtnat_s0,model,wordsim353,0.22613612189288065,24,352,1154
B26_lad100000_filtnat_s0,model,simlex999,-0.09265234591367401,103,999,1154
B26_lad100000_filtnat_s0,model,rg65,,3,65,1154
B26_lad100000_filtnat_s0,model,MTest-3000,0.09145616964629745,528,3000,1154
B26_lad100000_filtnat_s0,model,SimVerb-3500,-0.016349745691300252,245,3500,1154
B26_lad100000_filtnat_s1,model,wordsim353,-0.2399774138904574,22,352,1149
B26_lad100000_filtnat_s1,model,simlex999,-0.22482807665083765,98,999,1149
B26_lad100000_filtnat_s1,model,rg65,,2,65,1149
B26_lad100000_filtnat_s1,model,MTest-3000,-0.0007715585697428718,550,3000,1149
B26_lad100000_filtnat_s1,model,SimVerb-3500,0.04001536144785443,262,3500,1149
B26_lad100000_filtnat_s2,model,wordsim353,0.004884750476694367,27,352,1167
B26_lad100000_filtnat_s2,model,simlex999,-0.037244577357817686,101,999,1167
B26_lad100000_filtnat_s2,model,rg65,,1,65,1167
B26_lad100000_filtnat_s2,model,MTest-3000,0.01654495308891254,572,3000,1167
B26_lad100000_filtnat_s2,model,SimVerb-3500,-0.011417610212703103,246,3500,1167
B26_lad100000_t15_s0,model,wordsim353,,19,352,797
B26_lad100000_t15_s0,model,simlex999,0.024991783336063916,79,999,797
B26_lad100000_t15_s0,model,rg65,,3,65,797
B26_lad100000_t15_s0,model,MTest-3000,-0.012719623115719858,314,3000,797
B26_lad100000_t15_s0,model,SimVerb-3500,-0.05592458201001132,147,3500,797
B26_lad100000_t15_s1,model,wordsim353,,16,352,785
B26_lad100000_t15_s1,model,simlex999,-0.04608534595212566,71,999,785
B26_lad100000_t15_s1,model,rg65,,3,65,785
