scale,source,kind,category,spearman,n_pairs
3000,F_vitb_bv_rand_3000_s0,model,all,0.06909339670673893,207
3000,bv26a_rand_3000_s0,w2v,all,-0.02915884566064728,207
3000,F_vitb_bv_rand_3000_s0,model,noun,0.3193893129770992,27
3000,bv26a_rand_3000_s0,w2v,noun,-0.26900763358778623,27
3000,F_vitb_bv_rand_3000_s1,model,all,0.10247307990090274,128
3000,F_vitb_bv_rand_3000_s2,model,all,0.04913321517208076,129
3000,F_vitb_bv_rand_3000_s3,model,all,-0.03940339923777766,126
3000,F_vitb_bv_rand_3000_s4,model,all,-0.03526981083409089,128
3000,F_vitb_bv_rand_3000_s5,model,all,-0.12775670525861837,113
3000,F_vitb_bv_rand_3000_s6,model,all,0.11078940717071517,98
3000,F_vitb_bv_rand_3000_s7,model,all,0.0001822175089884078,123
10000,F_vitb_bv_rand_10000_s0,model,all,-0.010190135370082327,771
10000,bv26a_rand_10000_s0,w2v,all,0.03357617680780514,771
10000,F_vitb_bv_rand_10000_s0,model,noun,0.07754137432677834,211
10000,bv26a_rand_10000_s0,w2v,noun,-0.08833920053102966,211
10000,F_vitb_bv_rand_10000_s1,model,all,0.07816846897850244,593
10000,F_vitb_bv_rand_10000_s1,model,noun,0.024094417140549926,135
10000,F_vitb_bv_rand_10000_s2,model,all,0.011695171148753347,603
10000,F_vitb_bv_rand_10000_s2,model,noun,-0.023461040344521865,143
10000,F_vitb_bv_rand_10000_s3,model,all,-0.06482131053140797,609
10000,F_vitb_bv_rand_10000_s3,model,noun,-0.048713612621267256,154
10000,F_vitb_bv_rand_10000_s4,model,all,-0.043430561770245894,602
10000,F_vitb_bv_rand_10000_s4,model,noun,-0.06555921842928973,133
10000,F_vitb_bv_rand_10000_s5,model,all,-0.05863350987624646,593
10000,F_vitb_bv_rand_10000_s5,model,noun,0.0430423357836479,146
10000,F_vitb_bv_rand_10000_s6,model,all,0.015789132944893355,572
10000,F_vitb_bv_rand_10000_s6,model,noun,-0.0003185587480603797,136
10000,F_vitb_bv_rand_10000_s7,model,all,0.03253496270081602,607
10000,F_vitb_bv_rand_10000_s7,model,noun,-0.04777225102620394,139
30000,F_vitb_bv_rand_30000_s0,model,all,-0.05585677625645216,1595
30000,bv26a_rand_30000_s0,w2v,all,0.15735811766985586,1595
30000,F_vitb_bv_rand_30000_s0,model,noun,-0.08693984381980918,514
30000,bv26a_rand_30000_s0,w2v,noun,0.1563561196535471,514
30000,F_vitb_bv_rand_30000_s1,model,all,0.013497878930398078,1325
30000,F_vitb_bv_rand_30000_s1,model,noun,0.022642863540911457,413
30000,F_vitb_bv_rand_30000_s2,model,all,0.0037142462259847596,1273
30000,F_vitb_bv_rand_30000_s2,model,noun,0.046740881253391736,417
30000,F_vitb_bv_rand_30000_s3,model,all,0.014635959845800295,1301
30000,F_vitb_bv_rand_30000_s3,model,noun,0.038271171481642344,425
30000,F_vitb_bv_rand_30000_s4,model,all,-0.0532632008895751,1327
30000,F_vitb_bv_rand_30000_s4,model,noun,-0.07283678520796597,427
30000,F_vitb_bv_rand_30000_s5,model,all,0.011048119432687676,1304
30000,F_vitb_bv_rand_30000_s5,model,noun,0.08854508100245094,424
30000,F_vitb_bv_rand_30000_s6,model,all,-0.0053798304411391855,1312
30000,F_vitb_bv_rand_30000_s6,model,noun,-0.0547477103236705,439
30000,F_vitb_bv_rand_30000_s7,model,all,-0.02227354377700227,1302
30000,F_vitb_bv_rand_30000_s7,model,noun,0.0096734973539637,430
100000,F_vitb_bv_rand_100000_s0,model,all,0.019883278995149727,2808
100000,bv26a_rand_100000_s0,w2v,all,0.20608088830198362,2808
100000,F_vitb_bv_rand_100000_s0,model,noun,0.030038884532885606,1067
100000,bv26a_rand_100000_s0,w2v,noun,0.24123293301708545,1067
100000,F_vitb_bv_rand_100000_s1,model,all,0.025565880997716308,2540
100000,F_vitb_bv_rand_100000_s1,model,noun,0.03721389867944528,955
100000,F_vitb_bv_rand_100000_s2,model,all,0.008433756795255652,2520
100000,F_vitb_bv_rand_100000_s2,model,noun,0.019574878033849843,960
100000,F_vitb_bv_rand_100000_s3,model,all,0.058254531168543434,2521
100000,F_vitb_bv_rand_100000_s3,model,noun,0.05956920894817739,960
100000,F_vitb_bv_rand_100000_s4,model,all,0.002527666586560958,2504
100000,F_vitb_bv_rand_100000_s4,model,noun,0.006107775061843718,935
100000,F_vitb_bv_rand_100000_s5,model,all,0.05896042785335946,2507
100000,F_vitb_bv_rand_100000_s5,model,noun,0.005631312709482242,960
100000,F_vitb_bv_rand_100000_s6,model,all,0.03990095492479615,2567
100000,F_vitb_bv_rand_100000_s6,model,noun,0.038196656833563915,961
100000,F_vitb_bv_rand_100000_s7,model,all,0.009598468054251975,2486
100000,F_vitb_bv_rand_100000_s7,model,noun,-3.28552240046019e-05,949
300000,F_vitb_bv_rand_300000_s0,model,all,0.05756977223776478,4131
300000,bv26a_rand_300000_s0,w2v,all,0.23248393847439464,4131
300000,F_vitb_bv_rand_300000_s0,model,noun,0.03969718072452017,1610
300000,bv26a_rand_300000_s0,w2v,noun,0.28094899448725486,1610
300000,F_vitb_bv_rand_300000_s1,model,all,0.06033917817276429,3820
300000,F_vitb_bv_rand_300000_s1,model,noun,0.09457613043649131,1505
300000,F_vitb_bv_rand_300000_s2,model,all,0.03145915736626673,3815
300000,F_vitb_bv_rand_300000_s2,model,noun,-0.0011166479624037538,1486
300000,F_vitb_bv_rand_300000_s3,model,all,0.06677374951726885,3833
300000,F_vitb_bv_rand_300000_s3,model,noun,0.06194911955596827,1476
300000,F_vitb_bv_rand_300000_s4,model,all,0.04251775006954151,3878
300000,F_vitb_bv_rand_300000_s4,model,noun,0.04965774706504203,1499
1000000,F_vitb_bv_rand_1000000_s0,model,all,0.07468580165708108,5596
1000000,bv26a_rand_1000000_s0,w2v,all,0.31989956545510967,5596
1000000,F_vitb_bv_rand_1000000_s0,model,noun,0.11957064910338845,2064
1000000,bv26a_rand_1000000_s0,w2v,noun,0.40592970875874124,2064
1000000,F_vitb_bv_rand_1000000_s1,model,all,0.1335919286334608,5460
1000000,F_vitb_bv_rand_1000000_s1,model,noun,0.1841286996434058,2031
1000000,F_vitb_bv_rand_1000000_s2,model,all,0.11300962320109605,5491
1000000,F_vitb_bv_rand_1000000_s2,model,noun,0.1703009330056509,2041
1815243,F_vitb_bv_base_s0,model,all,0.14733195841256774,6144
1815243,bv26a_base,w2v,all,0.3413577064483215,6144
1815243,F_vitb_bv_base_s0,model,noun,0.21671081564008102,2244
1815243,bv26a_base,w2v,noun,0.44380125062435144,2244
1815243,F_vitb_bv_base_s1,model,all,0.14258603897779606,6144
1815243,F_vitb_bv_base_s1,model,noun,0.23295773358915367,2244
1815243,F_vitb_bv_base_s2,model,all,0.13643265568075263,6144
1815243,F_vitb_bv_base_s2,model,noun,0.23961461105837692,2244
