scale,source,kind,category,spearman,n_pairs
3000,F_vits_bv_rand_3000_s0,model,all,-0.011793232360783142,207
3000,bv26a_rand_3000_s0,w2v,all,-0.02915884566064728,207
3000,F_vits_bv_rand_3000_s0,model,noun,-0.21312977099236638,27
3000,bv26a_rand_3000_s0,w2v,noun,-0.26900763358778623,27
3000,F_vits_bv_rand_3000_s1,model,all,0.19192114554069542,128
3000,F_vits_bv_rand_3000_s2,model,all,0.09553509883786719,129
3000,F_vits_bv_rand_3000_s3,model,all,0.03428221738161148,126
3000,F_vits_bv_rand_3000_s4,model,all,-0.09118354989188414,128
3000,F_vits_bv_rand_3000_s5,model,all,-0.24186403877730428,113
3000,F_vits_bv_rand_3000_s6,model,all,-0.07596842149536952,98
3000,F_vits_bv_rand_3000_s7,model,all,0.07492042199212758,123
10000,F_vits_bv_rand_10000_s0,model,all,-0.023415014865765298,771
10000,bv26a_rand_10000_s0,w2v,all,0.03357617680780514,771
10000,F_vits_bv_rand_10000_s0,model,noun,-0.09395054350197454,211
10000,bv26a_rand_10000_s0,w2v,noun,-0.08833920053102966,211
10000,F_vits_bv_rand_10000_s1,model,all,0.022890018751768538,593
10000,F_vits_bv_rand_10000_s1,model,noun,-0.008825918924218855,135
10000,F_vits_bv_rand_10000_s2,model,all,-0.015597078267294262,603
10000,F_vits_bv_rand_10000_s2,model,noun,0.10204900882808754,143
10000,F_vits_bv_rand_10000_s3,model,all,0.03507667961503521,609
10000,F_vits_bv_rand_10000_s3,model,noun,0.03994294379914687,154
10000,F_vits_bv_rand_10000_s4,model,all,0.0027920618335316857,602
10000,F_vits_bv_rand_10000_s4,model,noun,-0.013248074609047459,133
10000,F_vits_bv_rand_10000_s5,model,all,-0.007909853651208637,593
10000,F_vits_bv_rand_10000_s5,model,noun,0.022100684084439482,146
10000,F_vits_bv_rand_10000_s6,model,all,-0.04150431114427396,572
10000,F_vits_bv_rand_10000_s6,model,noun,-0.1277563752193161,136
10000,F_vits_bv_rand_10000_s7,model,all,0.0799775016863289,607
10000,F_vits_bv_rand_10000_s7,model,noun,0.06924350321842573,139
30000,F_vits_bv_rand_30000_s0,model,all,0.042630182889557444,1595
30000,bv26a_rand_30000_s0,w2v,all,0.15735811766985586,1595
30000,F_vits_bv_rand_30000_s0,model,noun,0.027652413614637498,514
30000,bv26a_rand_30000_s0,w2v,noun,0.1563561196535471,514
30000,F_vits_bv_rand_30000_s1,model,all,-0.03643414471451449,1325
30000,F_vits_bv_rand_30000_s1,model,noun,-0.06038427752970402,413
30000,F_vits_bv_rand_30000_s2,model,all,-0.010617636082637693,1273
30000,F_vits_bv_rand_30000_s2,model,noun,0.06787831356535541,417
30000,F_vits_bv_rand_30000_s3,model,all,-0.03871918225394539,1301
30000,F_vits_bv_rand_30000_s3,model,noun,-0.0321676613554428,425
30000,F_vits_bv_rand_30000_s4,model,all,-0.040427035899618255,1327
30000,F_vits_bv_rand_30000_s4,model,noun,-0.05406986820977328,427
30000,F_vits_bv_rand_30000_s5,model,all,0.04418031382236073,1304
30000,F_vits_bv_rand_30000_s5,model,noun,0.0653205624589748,424
30000,F_vits_bv_rand_30000_s6,model,all,-0.007341065549746824,1312
30000,F_vits_bv_rand_30000_s6,model,noun,0.019354346967821973,439
30000,F_vits_bv_rand_30000_s7,model,all,-0.0718927557092273,1302
30000,F_vits_bv_rand_30000_s7,model,noun,-0.05467385937331229,430
100000,F_vits_bv_rand_100000_s0,model,all,0.0019523649252687785,2808
100000,bv26a_rand_100000_s0,w2v,all,0.20608088830198362,2808
100000,F_vits_bv_rand_100000_s0,model,noun,-0.014714586230107966,1067
100000,bv26a_rand_100000_s0,w2v,noun,0.24123293301708545,1067
100000,F_vits_bv_rand_100000_s1,model,all,0.009768125964815837,2540
100000,F_vits_bv_rand_100000_s1,model,noun,0.02969841256854285,955
100000,F_vits_bv_rand_100000_s2,model,all,0.018287587597751075,2520
100000,F_vits_bv_rand_100000_s2,model,noun,0.0035586947722768213,960
100000,F_vits_bv_rand_100000_s3,model,all,0.009645122780962278,2521
100000,F_vits_bv_rand_100000_s3,model,noun,0.01534646904107627,960
100000,F_vits_bv_rand_100000_s4,model,all,0.038104445210599316,2504
100000,F_vits_bv_rand_100000_s4,model,noun,0.06671368140475822,935
100000,F_vits_bv_rand_100000_s5,model,all,0.013959951717906847,2507
100000,F_vits_bv_rand_100000_s5,model,noun,-0.005974553838952631,960
100000,F_vits_bv_rand_100000_s6,model,all,0.003639263813233848,2567
100000,F_vits_bv_rand_100000_s6,model,noun,-0.026186812279022517,961
100000,F_vits_bv_rand_100000_s7,model,all,-0.03358383860107189,2486
100000,F_vits_bv_rand_100000_s7,model,noun,-0.027448463166369653,949
300000,F_vits_bv_rand_300000_s0,model,all,0.0040076714065736116,4131
300000,bv26a_rand_300000_s0,w2v,all,0.23248393847439464,4131
300000,F_vits_bv_rand_300000_s0,model,noun,0.019574308218396452,1610
300000,bv26a_rand_300000_s0,w2v,noun,0.28094899448725486,1610
300000,F_vits_bv_rand_300000_s1,model,all,0.0731026143500491,3820
300000,F_vits_bv_rand_300000_s1,model,noun,0.045459313833795235,1505
300000,F_vits_bv_rand_300000_s2,model,all,-0.005983091857166738,3815
300000,F_vits_bv_rand_300000_s2,model,noun,-0.005342848085034921,1486
300000,F_vits_bv_rand_300000_s3,model,all,0.02275918867319808,3833
300000,F_vits_bv_rand_300000_s3,model,noun,0.08335898171046106,1476
300000,F_vits_bv_rand_300000_s4,model,all,0.02565999723832981,3878
300000,F_vits_bv_rand_300000_s4,model,noun,0.025197153802071808,1499
1000000,F_vits_bv_rand_1000000_s0,model,all,0.11358207295429192,5596
1000000,bv26a_rand_1000000_s0,w2v,all,0.31989956545510967,5596
1000000,F_vits_bv_rand_1000000_s0,model,noun,0.17735984259536688,2064
1000000,bv26a_rand_1000000_s0,w2v,noun,0.40592970875874124,2064
1000000,F_vits_bv_rand_1000000_s1,model,all,0.10088225748610316,5460
1000000,F_vits_bv_rand_1000000_s1,model,noun,0.14378853117514676,2031
1000000,F_vits_bv_rand_1000000_s2,model,all,0.10648694364238422,5491
1000000,F_vits_bv_rand_1000000_s2,model,noun,0.17554032908129896,2041
1815243,F_vits_bv_base_s0,model,all,0.1264448089565815,6144
1815243,bv26a_base,w2v,all,0.3413577064483215,6144
1815243,F_vits_bv_base_s0,model,noun,0.1717802876052439,2244
1815243,bv26a_base,w2v,noun,0.44380125062435144,2244
1815243,F_vits_bv_base_s1,model,all,0.14466272366963825,6144
1815243,F_vits_bv_base_s1,model,noun,0.2147186441524617,2244
1815243,F_vits_bv_base_s2,model,all,0.12981396303463244,6144
1815243,F_vits_bv_base_s2,model,noun,0.20379523405143307,2244
