scale,source,kind,category,spearman,n_pairs
3000,F_dinov3l_rand_3000_s0,model,all,-0.010492908659585588,207
3000,bv26a_rand_3000_s0,w2v,all,-0.02915884566064728,207
3000,F_dinov3l_rand_3000_s0,model,noun,0.052213740458015266,27
3000,bv26a_rand_3000_s0,w2v,noun,-0.26900763358778623,27
3000,F_dinov3l_rand_3000_s1,model,all,-0.08827333898831831,128
3000,F_dinov3l_rand_3000_s2,model,all,-0.1163513674109149,129
3000,F_dinov3l_rand_3000_s3,model,all,-0.15500650437172667,126
3000,F_dinov3l_rand_3000_s4,model,all,0.1021694163253182,128
3000,F_dinov3l_rand_3000_s5,model,all,-0.024018984340161545,113
3000,F_dinov3l_rand_3000_s6,model,all,-0.15671994541867112,98
3000,F_dinov3l_rand_3000_s7,model,all,-0.1368324488956756,123
10000,F_dinov3l_rand_10000_s0,model,all,-0.02363089669087231,771
10000,bv26a_rand_10000_s0,w2v,all,0.03357617680780514,771
10000,F_dinov3l_rand_10000_s0,model,noun,-0.026820149407808316,211
10000,bv26a_rand_10000_s0,w2v,noun,-0.08833920053102966,211
10000,F_dinov3l_rand_10000_s1,model,all,-0.020451411703808334,593
10000,F_dinov3l_rand_10000_s1,model,noun,0.0314664257057764,135
10000,F_dinov3l_rand_10000_s2,model,all,-0.0190317658484179,603
10000,F_dinov3l_rand_10000_s2,model,noun,-0.015084809589437335,143
10000,F_dinov3l_rand_10000_s3,model,all,-0.016312500335924362,609
10000,F_dinov3l_rand_10000_s3,model,noun,-0.07082023375583035,154
10000,F_dinov3l_rand_10000_s4,model,all,0.01478342344682153,602
10000,F_dinov3l_rand_10000_s4,model,noun,0.034886851584580006,133
10000,F_dinov3l_rand_10000_s5,model,all,-0.07870558037634533,593
10000,F_dinov3l_rand_10000_s5,model,noun,0.05285843368851674,146
10000,F_dinov3l_rand_10000_s6,model,all,0.00409178196176507,572
10000,F_dinov3l_rand_10000_s6,model,noun,-0.17056255785193894,136
10000,F_dinov3l_rand_10000_s7,model,all,0.011503011051528952,607
10000,F_dinov3l_rand_10000_s7,model,noun,0.09838066516596355,139
30000,F_dinov3l_rand_30000_s0,model,all,0.0004895929496001231,1595
30000,bv26a_rand_30000_s0,w2v,all,0.15735811766985586,1595
30000,F_dinov3l_rand_30000_s0,model,noun,-0.00595295874551097,514
30000,bv26a_rand_30000_s0,w2v,noun,0.1563561196535471,514
30000,F_dinov3l_rand_30000_s1,model,all,0.042321935655788956,1325
30000,F_dinov3l_rand_30000_s1,model,noun,0.034476928157459,413
30000,F_dinov3l_rand_30000_s2,model,all,-0.005998341148946649,1273
30000,F_dinov3l_rand_30000_s2,model,noun,0.04860597315058974,417
30000,F_dinov3l_rand_30000_s3,model,all,-0.004264012288119243,1301
30000,F_dinov3l_rand_30000_s3,model,noun,-0.018148169301585405,425
30000,F_dinov3l_rand_30000_s4,model,all,0.015664729399418664,1327
30000,F_dinov3l_rand_30000_s4,model,noun,-0.05175281167126603,427
30000,F_dinov3l_rand_30000_s5,model,all,0.037378721699464115,1304
30000,F_dinov3l_rand_30000_s5,model,noun,0.03161469293888076,424
